kommune,k1to5,men_muni_pct,men_hed_share,workforce_mwr,income_mwr,ptwork_r,ffquota_share,busbal_lev,pubsec_bal,privsec_bal,leader_dist,secscho_bal
Os (Hord.),0.88,0.63,0.76,0.91,0.61,0.34,0.73,0.53,0.53,0.73,0.69,0.61
Austevoll,0.88,0.76,0.6,0.9,0.5,0.18,0.69,0.44,0.54,0.8,0.75,0.66
Sund,0.84,0.67,0.65,0.91,0.61,0.33,0.66,0.48,0.41,0.66,0.69,0.58
Fjell,0.89,0.74,0.72,0.92,0.62,0.3,0.78,0.56,0.52,0.73,0.65,0.64
Askøy,0.93,0.8,0.71,0.92,0.65,0.33,0.75,0.54,0.59,0.75,0.67,0.63
Vaksdal,0.82,0.76,0.67,0.93,0.67,0.29,0.66,0.5,0.54,0.57,0.59,0.58
Modalen,1.11,0.77,0.59,0.84,0.86,0.35,0.67,0.42,0.63,0.55,0.63,0.66
Osterøy,0.85,0.74,0.59,0.92,0.63,0.33,0.68,0.48,0.38,0.64,0.59,0.58
Meland,0.95,0.74,0.65,0.93,0.63,0.37,0.78,0.51,0.5,0.72,0.56,0.58
Øygarden,0.9,0.7,0.64,0.93,0.6,0.24,0.73,0.47,0.38,0.65,0.58,0.53
Radøy,0.8,0.88,0.62,0.93,0.64,0.37,0.64,0.48,0.43,0.58,0.65,0.55
Lindås,0.87,0.77,0.69,0.9,0.63,0.32,0.77,0.51,0.5,0.7,0.62,0.59
Austrheim,0.94,0.82,0.66,0.89,0.57,0.28,0.72,0.48,0.34,0.62,0.59,0.56
Fedje,0.72,0.4,0.65,1,0.6,0.27,1,0.34,0.5,0.37,0.88,0.61
Masfjorden,0.93,0.71,0.71,0.96,0.62,0.26,0.81,0.48,0.47,0.56,0.83,0.58
Flora,0.94,0.97,0.68,0.94,0.65,0.45,0.67,0.52,0.5,0.67,0.7,0.64
Gulen,0.94,0.67,0.56,0.94,0.62,0.31,0.77,0.44,0.4,0.58,0.87,0.61
Solund,0.96,0.67,0.56,0.86,0.59,0.21,0.64,0.41,0.39,0.47,0.65,0.75
Hyllestad,0.83,0.71,0.61,0.95,0.73,0.28,0.76,0.38,0.37,0.54,0.87,0.59
Høyanger,0.92,0.76,0.63,0.95,0.74,0.36,0.73,0.44,0.47,0.53,0.73,0.6
Vik,0.87,0.82,0.6,0.94,0.68,0.32,0.78,0.46,0.5,0.55,0.82,0.61
Balestrand,0.89,0.82,0.73,0.95,0.76,0.58,0.65,0.58,0.59,0.63,0.77,0.66
Leikanger,0.93,0.94,0.86,0.95,0.73,0.49,0.84,0.64,0.71,0.63,0.75,0.74
Sogndal,0.9,0.8,0.73,0.96,0.75,0.44,0.81,0.6,0.65,0.65,0.68,0.67
Aurland,0.97,0.47,0.68,0.95,0.7,0.4,0.78,0.53,0.58,0.68,0.77,0.63
Lærdal,0.91,0.71,0.63,0.96,0.76,0.32,0.88,0.41,0.48,0.44,0.48,0.64
Årdal,0.88,0.67,0.66,0.94,0.74,0.2,0.79,0.43,0.35,0.62,0.65,0.63
Luster,0.91,0.8,0.63,0.94,0.69,0.32,0.83,0.51,0.53,0.62,0.73,0.61
Askvoll,0.9,0.86,0.54,0.97,0.63,0.34,0.8,0.4,0.39,0.62,0.84,0.67
Fjaler,0.96,0.7,0.73,0.97,0.71,0.39,0.75,0.52,0.54,0.63,0.86,0.79
Gaular,0.95,0.95,0.58,0.99,0.72,0.41,0.82,0.47,0.52,0.59,0.77,0.71
Jølster,1.01,0.8,0.59,0.95,0.72,0.36,0.71,0.48,0.49,0.57,0.77,0.64
Førde,0.93,0.74,0.7,0.97,0.71,0.41,0.79,0.58,0.6,0.66,0.66,0.69
Naustdal,0.94,0.86,0.56,0.98,0.83,0.42,0.81,0.49,0.47,0.62,0.79,0.62
Bremanger,0.93,0.78,0.58,0.96,0.65,0.38,0.63,0.4,0.37,0.51,0.75,0.59
